电信单播-G,#genre#
广州综合,rtsp://183.59.56.116:554/PLTV/88888905/224/3221230104/453207146.smil?0&accountinfo=%7E%7EV2.0%7EzPzHhhIQTsmwS_6SJEwFCg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
广州新闻,rtsp://183.59.131.100:554/PLTV/88888905/224/3221230113/453206913.smil?0&accountinfo=%7E%7EV2.0%7E0SFQT4d134tJBYGpDmeXDQ%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
广州影视,rtsp://183.59.131.37:554/PLTV/88888905/224/3221230115/453198755.smil?0&accountinfo=%7E%7EV2.0%7ENaCaue7LGOmXprWOEgXTzw%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
广州法治,rtsp://183.59.153.37:554/PLTV/88888905/224/3221230168/453206912.smil?0&accountinfo=%7E%7EV2.0%7EUSiyCu_w9WF99m5iQxHYRA%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
大湾区卫视,rtsp://125.88.52.199/PLTV/88888905/224/3221230001/10000100000000060000000011293289_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EX0PewjSIz0tu2R4kmNEkjQ%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052020101699000001%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000011293289_0%2CEND
广东影视,rtsp://125.88.52.199/PLTV/88888905/224/3221229939/10000100000000060000000011293286_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EGHiuKN7Jl2gUfCwl512uww%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052020101699000002%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000011293286_0%2CEND
广东少儿,rtsp://125.88.52.199/PLTV/88888905/224/3221230010/10000100000000060000000011293288_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7E_hI47td-49nnWO1hD4vU7g%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052020101699000004%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000011293288_0%2CEND
嘉佳卡通,rtsp://125.88.52.199/PLTV/88888905/224/3221230108/320918166.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EKvIXzkO4smSBDqLqdFwSKg%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052020121799000002%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C320918166%2CEND
广东4K超高清,rtsp://125.88.52.199/PLTV/88888905/224/3221229717/10000100000000060000000008643415_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ERADh4hieUGCNdNMPDEDsJw%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052017112999000001%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000008643415_0%2CEND
广东4K超高清窄色域30,rtsp://125.88.52.199/PLTV/88888905/224/3221229713/10000100000000060000000008646185_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EJ0zWCbTPbymW8NL3O3GruA%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052017120499000001%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000008646185_0%2CEND
南方购物-精选,rtsp://125.88.52.199/PLTV/88888905/224/3221227224/10000100000000060000000000990026_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ENDKdzEbwG2uWW6AskdLAmg%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000001000000050000000000000382%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000990026_0%2CEND
广东4K超高清宽色域AVS2,rtsp://125.88.52.199/PLTV/88888905/224/3221229712/10000100000000060000000008796229_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EA-KPqmb9lXkt5USi1Knerg%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052018012499000001%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000008796229_0%2CEND
广东移动,rtsp://125.88.52.199/PLTV/88888905/224/3221227209/10000100000000060000000000987164_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EVb8-2S-6AKeMAFhv98MVQA%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000001000000050000000000000387%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000000987164_0%2CEND
江门综合,rtsp://125.88.52.199/PLTV/88888905/224/3221230055/340450273.smil?rrsip=125.88.70.140,rrsip=125.88.104.40&zoneoffset=480&icpid=1111116&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EeSESe2zszA6jeWFbjGT4Bw%7EcGhZ54vFNZXlnpMOiqVvkE322ooAv1KC6FQAE7jbGWliI10Ggdg7SLxAVpsFPG759NxTxsmSwEiyra_5ZT7Ykt4i9XoE8sVvtDpiqoas0DY%7EExtInfoPC2ZKLw95m5z2wHEEFeSaQ%3A20240513211818%2C25167695%2C10.119.255.1%2C20240513211818%2C02000006000000052021012199000001%2C25167695%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C340450273%2CEND
